speciesCode,hideFlags,obsDt,subnational1Code,howManyAtleast,howManyAtmost,present,subId,projId,obsId,howManyStr,protocolId,locId,checklistId,userDisplayName
eastow,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747349,2,P22,L152612,CL23300,Cameron Rutt
rewbla,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747347,1,P22,L152612,CL23300,Cameron Rutt
norwat,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747338,1,P22,L152612,CL23300,Cameron Rutt
tenwar,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747357,1,P22,L152612,CL23300,Cameron Rutt
orcwar,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747332,2,P22,L152612,CL23300,Cameron Rutt
naswar,[],2024-09-29 08:42,US-IL,3,3,False,S196904601,EBIRD,OBS2497747365,3,P22,L152612,CL23300,Cameron Rutt
comyel,[],2024-09-29 08:42,US-IL,4,4,False,S196904601,EBIRD,OBS2497766727,4,P22,L152612,CL23300,Cameron Rutt
amered,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747336,2,P22,L152612,CL23300,Cameron Rutt
magwar,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747370,2,P22,L152612,CL23300,Cameron Rutt
bkpwar,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497766726,1,P22,L152612,CL23300,Cameron Rutt
btbwar,[],2024-09-29 08:42,US-IL,2,2,False,S196904601,EBIRD,OBS2497747337,2,P22,L152612,CL23300,Cameron Rutt
palwar,[],2024-09-29 08:42,US-IL,25,25,False,S196904601,EBIRD,OBS2497747368,25,P22,L152612,CL23300,Cameron Rutt
myrwar,[],2024-09-29 08:42,US-IL,45,45,False,S196904601,EBIRD,OBS2497747361,45,P22,L152612,CL23300,Cameron Rutt
norcar,[],2024-09-29 08:42,US-IL,3,3,False,S196904601,EBIRD,OBS2497747353,3,P22,L152612,CL23300,Cameron Rutt
indbun,[],2024-09-29 08:42,US-IL,1,1,False,S196904601,EBIRD,OBS2497747342,1,P22,L152612,CL23300,Cameron Rutt
